step,train_loss,val_loss
0,5.712542533874512,5.715909004211426
250,2.533724784851074,2.529351234436035
500,2.402792453765869,2.3966116905212402
750,2.314185857772827,2.3259758949279785
1000,2.2314248085021973,2.2430427074432373
1250,2.153949499130249,2.187694549560547
1500,2.113346815109253,2.1318182945251465
1750,2.071382999420166,2.1129441261291504
2000,2.0393621921539307,2.0762648582458496
2250,2.0254006385803223,2.0699803829193115
2500,2.010817766189575,2.063664436340332
2750,1.9965195655822754,2.0394887924194336
3000,1.9943102598190308,2.039910078048706
