step,train_loss,val_loss
0,5.716545581817627,5.714815616607666
250,2.4457645416259766,2.455961227416992
500,2.246375799179077,2.2862296104431152
750,2.089319944381714,2.150780439376831
1000,1.9727030992507935,2.0415468215942383
1250,1.8730974197387695,1.9603031873703003
1500,1.8010352849960327,1.9262893199920654
1750,1.7513177394866943,1.8735545873641968
2000,1.7122501134872437,1.8559679985046387
2250,1.7072826623916626,1.8324552774429321
2500,1.6804759502410889,1.8172732591629028
2750,1.6625792980194092,1.8079421520233154
3000,1.652090311050415,1.7955361604690552
